scholarship_id,scholarship_name,provider,provider_type,source,official_source_url,application_url,country_of_provider,study_country,eligible_nationalities,education_level,study_mode,field_of_study,age_min,age_max,academic_requirement,minimum_percentage_or_gpa,family_income_limit,gender_eligibility,category_eligibility,disability_eligibility,residency_requirement,scholarship_amount,currency,funding_type,tuition_coverage,living_expense_coverage,travel_coverage,accommodation_coverage,application_fee,application_deadline,scholarship_duration,number_of_awards,documents_required,eligibility_criteria,selection_criteria,description,renewable,last_verified
SCH_0036,Central Sector Scheme of Scholarships for College and University Students,"Department of Higher Education, Ministry of Education, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,Undergraduate,Full-time,"All (Science, Commerce, Humanities, Engineering, Medical)",17,25,Top 20th percentile in relevant stream in Class 12 board examination,Top 20th percentile (Approx. 80%+),450000,Any,"General, SC, ST, OBC, EWS",5% horizontal reservation for PwD,Indian resident,12000,INR,Stipend,Not specified,"INR 12,000 per annum for UG, INR 20,000 per annum for PG",Not specified,Not specified,Free,2026-10-31,Up to 5 years (UG + PG),"82,000 fresh scholarships annually","Class 12 Marksheet, Income certificate, Aadhaar, Bank account passbook, College admission proof",Students who are above 80th percentile of successful candidates in the relevant stream from a recognized Board.,Merit list prepared stream-wise and quota-wise according to state board percentiles.,Central scheme providing financial assistance to meritorious students from low-income families to meet day-to-day expenses.,Yes (requires 50%+ marks each year and 75% attendance),2026-09-16
SCH_0038,Pragati Scholarship Scheme for Girl Students (Technical Degree),All India Council for Technical Education (AICTE),Government,NSP,https://www.aicte-india.org/schemes/students-development-schemes,https://scholarships.gov.in/,India,India,Indian,Undergraduate,Full-time,"Technical Degree (Engineering, Technology, Architecture, Pharmacy)",17,24,Admitted to 1st year of degree programme in AICTE approved institution,Passed 10+2 qualifying exam,800000,Female,"General, SC, ST, OBC",Equal Opportunity,Indian resident,50000,INR,Grant,"Lump-sum grant towards college fees, books, computer, software","INR 50,000 per annum consolidated",Not specified,Not specified,Free,2026-10-31,Up to 4 years,"10,000 scholarships per annum","Class 10 & 12 marksheet, Family income certificate, College admission receipt, Aadhaar, Bank passbook",Maximum two girl children per family; family income less than Rs. 8 Lakh per annum; admitted via centralized admission.,Merit of the qualifying examination (10+2) among eligible applicants.,AICTE initiative to empower young women with technical education support across India.,Yes (annually on passing),2026-09-16
SCH_0039,Post Matric Scholarship for Students with Disabilities,"Department of Empowerment of Persons with Disabilities, Govt. of India",Government,NSP,https://disabilityaffairs.gov.in/,https://scholarships.gov.in/,India,India,Indian,Postgraduate,Full-time,All recognized courses post Class 12,17,35,Passed previous examination and enrolled in recognized post-matric course,Passing marks,250000,Any,"General, SC, ST, OBC",Persons with benchmark disability of 40% and above,Indian citizen,16000,INR,Stipend,Tuition fees reimbursement,"Monthly maintenance allowance INR 900 - 1,600 + disability allowance",Conveyance allowance provided,Hostel allowance included,Free,2026-11-30,Duration of degree,"17,000 slots per annum","Disability certificate from competent medical authority, Income certificate, Marksheets, Fee receipt",Students with 40%+ benchmark disability; parental income below Rs. 2.5 Lakh per annum.,Verification of medical certificate and income threshold.,"Comprehensive central scholarship providing maintenance, tuition, and specialized aids for disabled students.",Yes,2026-09-16
SCH_0040,National Fellowship and Scholarship for Higher Education of ST Students,"Ministry of Tribal Affairs, Govt. of India",Government,NSP,https://tribal.nic.in/,https://scholarships.gov.in/,India,India,Indian,Undergraduate,Full-time,"Engineering, Medicine, Law, Management, Agriculture at Top Institute List",17,30,"Secured admission to an identified premier institute (IIT, IIM, NIT, AIIMS, NLU, etc.)",Passing entrance / admission standard,600000,Any,ST,Equal Opportunity,Indian resident belonging to Scheduled Tribe,250000,INR,Full,Full tuition fee reimbursement for identified institutes,"Living expenses INR 3,000 per month",Not specified,Included in living allowance,Free,2026-10-31,Entire duration of professional degree,"1,000 fresh scholarships annually","ST Caste certificate, Family income certificate, Admission letter from premier institute, Fee receipt",ST students admitted to 246 designated premier higher education institutions.,Direct funding upon verification of premier institute admission and ST caste validation.,Ministry of Tribal Affairs flagship scheme financing higher education of ST students in elite national institutes.,Yes,2026-09-16
SCH_0041,DAAD Scholarships for Development-Related Postgraduate Courses,DAAD (German Academic Exchange Service),Foundation / Corporate,StudyPortals,https://www.daad.de/en/study-and-research-in-germany/scholarships/,https://www.daad.de/en/study-and-research-in-germany/scholarships/,Germany,Germany,Developing countries including India,Postgraduate,Full-time,Development-related subjects (Agri/Engineering/Social/Economics),22.0,36.0,Very good bachelor degree,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,EUR 934 per month plus travel allowance plus health insurance,EUR,Full,Full,Included,Not specified,Not specified,Free,2026-09-30,1 to 4 years,Varies by cohort,"Bachelor certificate, Language certificate, CV, Motivation letter, References",Very good bachelor degree; Developing countries including India candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",Fully funded for students from developing countries to pursue master programs in Germany.,Not specified,2026-09-16
SCH_0042,Erasmus Plus Scholarship,European Commission,Government,StudyPortals,https://erasmus-plus.ec.europa.eu/,https://erasmus-plus.ec.europa.eu/,Europe (multiple),Europe,Any,PhD,Full-time,All,18.0,45.0,Varies by program,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,"EUR 500-EUR 1,000 per month plus travel grant",EUR,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2027-02-01,1 to 4 years,Varies by cohort,"Transcript, Language certificate, Motivation letter, CV, Learning agreement",Varies by program; Any candidates; PhD level.,"Academic merit, financial background, and eligibility evaluation.","EU exchange and scholarship programme supporting study, training and research in Europe.",Not specified,2026-09-16
SCH_0043,Chevening Scholarships,UK Government / FCDO,Foundation / Corporate,StudyPortals,https://www.chevening.org/,https://www.chevening.org/,United Kingdom,United Kingdom,Indian,Postgraduate,Full-time,All,21.0,50.0,Undergraduate degree (upper second class 60% plus),Undergraduate degree (upper second class 60% plus),Not specified,Any,General,Equal Opportunity,Not specified,Full tuition plus living expenses plus flights,GBP,Full,Full,Included,Not specified,Not specified,Free,2026-11-05,1 to 4 years,Varies by cohort,"Transcripts, 2 years work experience proof, References, Statement of purpose",Undergraduate degree (upper second class 60% plus); Indian candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",UK government global scholarship for outstanding emerging leaders to pursue one-year master.,Not specified,2026-09-16
SCH_0044,Commonwealth Masters Scholarships,"Commonwealth Scholarship Commission (CSC), UK",Government,StudyPortals,https://cscuk.fcdo.gov.uk/,https://cscuk.fcdo.gov.uk/,United Kingdom,United Kingdom,Indian (Commonwealth citizens),Postgraduate,Full-time,All,22.0,40.0,Upper second class bachelor degree (60% plus),Upper second class bachelor degree (60% plus),Not specified,Any,General,Equal Opportunity,Not specified,Full tuition plus living allowance plus airfare plus thesis grant,GBP,Full,Full,Included,Not specified,Not specified,Free,2026-10-16,1 to 4 years,Varies by cohort,"Degree certificate, Transcripts, References, Statement of purpose, English proficiency",Upper second class bachelor degree (60% plus); Indian (Commonwealth citizens) candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",Fully funded master scholarships for citizens of Commonwealth countries.,Not specified,2026-09-16
SCH_0045,Gates Cambridge Scholarship,Bill and Melinda Gates Foundation,Foundation / Corporate,StudyPortals,https://www.gatescambridge.org/,https://www.gatescambridge.org/,United Kingdom,United Kingdom,Any (non-UK),PhD,Full-time,All (research or taught postgraduate),21.0,45.0,Outstanding academic record,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,Full tuition plus maintenance plus flights,GBP,Full,Full,Included,Not specified,Not specified,Free,2026-10-14,1 to 4 years,Varies by cohort,"Transcripts, Statement of purpose, 3 References, Research proposal",Outstanding academic record; Any (non-UK) candidates; PhD level.,"Academic merit, financial background, and eligibility evaluation.",Prestigious scholarship for outstanding scholars from any country to study at University of Cambridge.,Not specified,2026-09-16
SCH_0046,Australia Awards Scholarships,Australian Government - Dept. of Foreign Affairs and Trade,Foundation / Corporate,StudyPortals,https://www.australiaawards.gov.au/,https://www.australiaawards.gov.au/,Australia,Australia,Indian,Postgraduate,Full-time,Development-related fields,25.0,45.0,Good bachelor degree,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,Full tuition plus airfares plus living allowance plus health cover,AUD,Full,Full,Included,Not specified,Not specified,Free,2026-04-30,1 to 4 years,Varies by cohort,"Transcripts, Work experience proof, English test (IELTS/TOEFL), References",Good bachelor degree; Indian candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",Fully funded Australian government scholarships for citizens of Indo-Pacific and African countries.,Not specified,2026-09-16
SCH_0047,Fulbright Foreign Student Program,U.S. Department of State,Foundation / Corporate,StudyPortals,https://foreign.fulbrightonline.org/,https://foreign.fulbrightonline.org/,USA,USA,Indian,PhD,Full-time,All,22.0,45.0,Bachelor degree with first division,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,Full tuition plus living plus travel plus health insurance,USD,Full,Full,Included,Not specified,Not specified,Free,2026-05-15,1 to 4 years,Varies by cohort,"Transcripts, GRE/GMAT, Statement of purpose, References, English proficiency",Bachelor degree with first division; Indian candidates; PhD level.,"Academic merit, financial background, and eligibility evaluation.",Flagship US government scholarship for international students to pursue graduate study in USA.,Not specified,2026-09-16
SCH_0048,MEXT Japanese Government Scholarship,Ministry of Education Culture Sports Science and Technology Japan,Government,StudyPortals,https://www.studyinjapan.go.jp/en/,https://www.studyinjapan.go.jp/en/,Japan,Japan,Indian,PhD,Full-time,All,17.0,35.0,70% plus,70% plus,Not specified,Any,General,Equal Opportunity,Not specified,"JPY 117,000-145,000 per month plus tuition waiver plus airfares",JPY,Full,Full,Included,Not specified,Not specified,Free,2026-05-31,1 to 4 years,Varies by cohort,"Transcripts, Research plan, Physical examination certificate, Language certificate",70% plus; Indian candidates; PhD level.,"Academic merit, financial background, and eligibility evaluation.",Japanese government scholarship for foreign students to study at Japanese universities.,Not specified,2026-09-16
SCH_0049,Swedish Institute Scholarships for Global Professionals (SISGP),Swedish Institute,University,StudyPortals,https://si.se/en/apply/scholarships/,https://si.se/en/apply/scholarships/,Sweden,Sweden,Select countries including India,Postgraduate,Full-time,All,24.0,45.0,Bachelor degree plus 3000 hrs professional experience,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,"SEK 11,000 per month plus tuition plus travel plus insurance",USD,Full,Full,Included,Not specified,Not specified,Free,2027-02-15,1 to 4 years,Varies by cohort,"Transcripts, CV, Work experience proof, Motivation letter, References",Bachelor degree plus 3000 hrs professional experience; Select countries including India candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",Fully funded scholarship for young professionals from select countries to pursue master in Sweden.,Not specified,2026-09-16
